의도,문장,답변,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절
추천,호남권에서 추천해줘,"호남권에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘[CJ] 진한육수 곱창전골’, ‘[그리팅] 꼬꼬바베큐 500g’, ‘[하코야] 오리지널 어묵 우동(2인)’를 추천드려요.",,,,,,,,"[CJ] 진한육수 곱창전골, [그리팅] 꼬꼬바베큐 500g, [하코야] 오리지널 어묵 우동(2인)",,,,,,,,,,
추천,충남에서 인기 있는 메뉴는?,"충남에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘[청정원] 순창 양념쌈장 190g’, ‘[제이키친] 순한짜장 떡볶이 2종’, ‘[풀무원] 동치미냉면 2인 + 함흥냉면 2인 (총 4인분)’를 추천드려요.",,,충남,,,,,"[청정원] 순창 양념쌈장 190g, [제이키친] 순한짜장 떡볶이 2종, [풀무원] 동치미냉면 2인 + 함흥냉면 2인 (총 4인분)",,,,충남,,,,,,
추천,대구에서 추천해줘,"대구에서 추천드릴 만한 메뉴는 ‘[패밀리아] 오리지널 스위스 뮤즐리 500g’, ‘[하림] 에어프라이어 순살치킨’, ‘[정호영셰프의 우동카덴] 명란 크림 우동’예요.",,,대구,,,,,"[패밀리아] 오리지널 스위스 뮤즐리 500g, [하림] 에어프라이어 순살치킨, [정호영셰프의 우동카덴] 명란 크림 우동",,,,대구,,,,,,
추천,5월에서 무엇이 좋을까?,"5월에서 ‘[포스트] 아몬드 후레이크 시리얼 620g’, ‘[오뚜기]X.O.감자떡만두 2종’, ‘[마이셰프] 제주식 딱새우 된장찌개’ 메뉴가 특히 인기가 많아요.",,,,,5월,,,"[포스트] 아몬드 후레이크 시리얼 620g, [오뚜기]X.O.감자떡만두 2종, [마이셰프] 제주식 딱새우 된장찌개",,,,,,5월,,,,
추천,5인 이상에서 무엇이 좋을까?,"5인 이상에서는 ‘[오뚜기] 가뿐한끼 현미밥 150g X 30입’, ‘[설성목장] 한우 김치왕만두 420g’, ‘[호텔컬렉션] 짬뽕왕교자 호만두’가 꾸준히 인기예요.",,,,5인 이상,,,,"[오뚜기] 가뿐한끼 현미밥 150g X 30입, [설성목장] 한우 김치왕만두 420g, [호텔컬렉션] 짬뽕왕교자 호만두",,,,,5인 이상,,,,,
추천,경남에서 인기 있는 메뉴는?,"다양하게 즐기고 싶다면 경남에서 ‘[푸드어셈블] 소고기 버섯말이찜’, ‘[햇반] 잡곡밥 210g*36입’, ‘[햇반] 100% 통곡물밥 130g*12입’ 메뉴를 추천해요!",,,경남,,,,,"[푸드어셈블] 소고기 버섯말이찜, [햇반] 잡곡밥 210g*36입, [햇반] 100% 통곡물밥 130g*12입",,,,경남,,,,,,
추천,울산에서 잘 팔리는 상품은?,"울산에서 인기 TOP3 메뉴로 ‘[마니커에프앤지] 통살치킨너겟’, ‘[올바르고 반듯한] 더블치즈 불고기 딥디쉬 시카고 피자’, ‘[마이셰프] 간장 돼지 불고기’를 추천합니다.",,,울산,,,,,"[마니커에프앤지] 통살치킨너겟, [올바르고 반듯한] 더블치즈 불고기 딥디쉬 시카고 피자, [마이셰프] 간장 돼지 불고기",,,,울산,,,,,,
트렌드,여름 어떤 변화가 있나요?,여름에서 가족 단위 주문이 늘면서 다양한 패밀리 메뉴가 인기예요.,,,,,,,,,여름,,,,,,,,,여름
추천,9월에서 추천해줘,"9월에서는 ‘[저스트그린] 케이준 치킨샐러드 160g’, ‘[차려낸] 매콤 양념 낙곱새 전골’, ‘[사세] 빠삭한 새우링’가 만족도가 높아요.",,,,,9월,,,"[저스트그린] 케이준 치킨샐러드 160g, [차려낸] 매콤 양념 낙곱새 전골, [사세] 빠삭한 새우링",,,,,,9월,,,,
추천,여름에서 인기 있는 메뉴는?,"여름에서는 최근 ‘[CJ] 동치미 물냉면 2인분+ 함흥 비빔냉면 2인분 (총1,382.4g)’, ‘[샐러드판다] 스프레드 샐러드 3종’, ‘[샐러드판다] 랩 3종 (택1)’가 인기 급상승 중입니다.",,,,,,,,"[CJ] 동치미 물냉면 2인분+ 함흥 비빔냉면 2인분 (총1,382.4g), [샐러드판다] 스프레드 샐러드 3종, [샐러드판다] 랩 3종 (택1)",여름,,,,,,,,,여름
추천,충남에서 무엇이 좋을까?,"충남에서는 ‘[99치킨] 두 마리 & 윙봉 콤보 (택1)’, ‘[샌드위밋] 바질토마토 햄 치아바타’, ‘[동원] 양반 현미밥 130g (24입)’가 만족도가 높아요.",,,충남,,,,,"[99치킨] 두 마리 & 윙봉 콤보 (택1), [샌드위밋] 바질토마토 햄 치아바타, [동원] 양반 현미밥 130g (24입)",,,,충남,,,,,,
트렌드,한식 어떤 변화가 있나요?,한식에서 최근 간편식/밀키트 소비가 꾸준히 늘고 있습니다.,,,,,,,,,,,,,,,,,,
추천,대구에서 잘 팔리는 상품은?,"대구에서 먹기 좋은 메뉴로는 ‘[오쿡] 컵도시락 골라담기 4종 (택1)’, ‘[용호낙지] 낙곱새’, ‘[조선호텔] 유니짜장삼선볶음밥 500g’가 있습니다.",,,대구,,,,,"[오쿡] 컵도시락 골라담기 4종 (택1), [용호낙지] 낙곱새, [조선호텔] 유니짜장삼선볶음밥 500g",,,,대구,,,,,,
추천,대가족에서 잘 팔리는 상품은?,"가족 고객님들이 즐겨 찾는 메뉴로 ‘[소부당] 추억의 떡꼬치’, ‘[김구원선생] 김치 순두부찌개’, ‘[오뚜기] 맛있는 오리지널 핫도그 400g(80gX5개입)’를 추천해요.",,,,가족,,,,"[소부당] 추억의 떡꼬치, [김구원선생] 김치 순두부찌개, [오뚜기] 맛있는 오리지널 핫도그 400g(80gX5개입)",,,,,,,,,,
추천,건강에서 무엇이 좋을까?,"이용자 고객님들께 ‘[모노키친] 베이징풍 찹쌀탕수육’, ‘[모두의맛집] 정호영 명란감자채 솥밥 도시락’, ‘[엘퍼] 뢰스티 해쉬브라운 스틱 감자튀김 1000g’를 추천합니다.",,,,,,,,"[모노키친] 베이징풍 찹쌀탕수육, [모두의맛집] 정호영 명란감자채 솥밥 도시락, [엘퍼] 뢰스티 해쉬브라운 스틱 감자튀김 1000g",,,,,,,,,,
추천,광주에서 추천해줘,"광주에서는 ‘[오뚜기] 오뚜기밥 잡곡 3종’, ‘[소금집] 잠봉뵈르 샌드위치 (리뉴얼)’, ‘[포차안주] 왕십리식 매콤 곱창볶음’가 만족도가 높아요.",,,광주,,,,,"[오뚜기] 오뚜기밥 잡곡 3종, [소금집] 잠봉뵈르 샌드위치 (리뉴얼), [포차안주] 왕십리식 매콤 곱창볶음",,,,광주,,,,,,
추천,2월에서 인기 있는 메뉴는?,"2월에서 추천드릴 만한 메뉴는 ‘[매일] 어메이징 오트 그래놀라 (30g x 10개입)’, ‘[쵸이닷:직원食당] 주꾸미 볶음 & 마무리 볶음밥’, ‘[마마리] 우리쌀 떡국 (2인분)’예요.",,,,,2월,,,"[매일] 어메이징 오트 그래놀라 (30g x 10개입), [쵸이닷:직원食당] 주꾸미 볶음 & 마무리 볶음밥, [마마리] 우리쌀 떡국 (2인분)",,,,,,2월,,,,
추천,11월에서 무엇이 좋을까?,"1월에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘[그리팅키즈] 한돈 잡채 덮밥 소스’, ‘[햇반] 잡곡밥 210g*36입’, ‘[정지선의 티엔미미] 북경작장면’를 추천드려요.",,,,,11월,,,"[그리팅키즈] 한돈 잡채 덮밥 소스, [햇반] 잡곡밥 210g*36입, [정지선의 티엔미미] 북경작장면",,,,,,11월,,,,
추천,대전에서 추천해줘,"대전에서 ‘떡볶이&튀김 인기 메뉴 2종(택1)’, ‘[고메] 클래식 콤비네이션 피자 405g’, ‘[청정원] 오리지널 콤비네이션 피자’ 메뉴가 특히 인기가 많아요.",,,대전,,,,,"떡볶이&튀김 인기 메뉴 2종(택1), [고메] 클래식 콤비네이션 피자 405g, [청정원] 오리지널 콤비네이션 피자",,,,대전,,,,,,
트렌드,충청권 특징이 있나요?,충청권에서는 한식뿐 아니라 다양한 메뉴의 인기도 꾸준히 증가하고 있습니다.,,,,,,,,,,,,,,,,,,
트렌드,충북 특징이 있나요?,충북에서는 최근 건강식에 대한 선호도가 뚜렷하게 보입니다.,,,충북,,,,,,,,,충북,,,,,,
트렌드,제주 어떤 변화가 있나요?,제주에서 가족 단위 주문이 늘면서 다양한 패밀리 메뉴가 인기예요.,,,제주,,,,,,,,,제주,,,,,,
추천,3월에서 인기 있는 메뉴는?,"3월에서 트렌디하게 즐기는 메뉴로 ‘[삼창교자] 순새우만두’, ‘[멜팅피스] 오징어튀김 430g’, ‘[아이쑥쑥] 한글놀이 치킨너겟 (800g)’를 추천합니다.",,,,,3월,,,"[삼창교자] 순새우만두, [멜팅피스] 오징어튀김 430g, [아이쑥쑥] 한글놀이 치킨너겟 (800g)",,,,,,3월,,,,
추천,충청권에서 무엇이 좋을까?,"충청권에서 ‘[킨더가든] 우리아이 채소달걀찜’, ‘[마포식품] 만두피 3종 (택1)’, ‘[생어거스틴] 새우 듬뿍 팟타이 밀키트’ 메뉴가 특히 인기가 많아요.",,,,,,,,"[킨더가든] 우리아이 채소달걀찜, [마포식품] 만두피 3종 (택1), [생어거스틴] 새우 듬뿍 팟타이 밀키트",,,,,,,,,,
추천,여름에서 인기 있는 메뉴는?,"여름에서는 ‘[봉식탁] 봉피양 평양냉면’, ‘[청정원] 시원한 바지락칼국수 2인분’, ‘[풀무원] 속초식 코다리 냉면 (2인)’가 꾸준히 인기예요.",,,,,,,,"[봉식탁] 봉피양 평양냉면, [청정원] 시원한 바지락칼국수 2인분, [풀무원] 속초식 코다리 냉면 (2인)",여름,,,,,,,,,여름
추천,아침에서 추천해줘,"아침에서 한 끼 해결하기 좋은 메뉴로 ‘[그래놀라 하우스] 그래놀라 5종 (택1)’, ‘[스윗밸런스] 곡물빵 샌드위치 3종’, ‘[Kurly's] 샌드위치용 달걀듬뿍 샐러드 500g’를 추천드려요.",,,,,,,,"[그래놀라 하우스] 그래놀라 5종 (택1), [스윗밸런스] 곡물빵 샌드위치 3종, [Kurly's] 샌드위치용 달걀듬뿍 샐러드 500g",,,,,,,,,,
트렌드,1인 소비 트렌드는?,1인에서 소비자들은 품질과 건강을 모두 고려하는 트렌드를 보여주고 있어요.,,,,1인,,,,,,,,,1인,,,,,
트렌드,9월 어떤 변화가 있나요?,9월에서 최근 간편식/밀키트 소비가 꾸준히 늘고 있습니다.,,,,,9월,,,,,,,,,9월,,,,
추천,1월에서 잘 팔리는 상품은?,"1월에서 ‘[도제] 리코타 치즈 삼색 후르츠 산도’, ‘[쉐푸드] 샐러드바 홈샐러드’, ‘[그라놀로지] 그래놀라 시그니처 패키지 7종 (택1)’ 메뉴가 특히 인기가 많아요.",,,,,1월,,,"[도제] 리코타 치즈 삼색 후르츠 산도, [쉐푸드] 샐러드바 홈샐러드, [그라놀로지] 그래놀라 시그니처 패키지 7종 (택1)",,,,,,1월,,,,
추천,11월에서 인기 있는 메뉴는?,"1월에서 먹기 좋은 메뉴로는 ‘[고래사] 어묵 떡볶이’, ‘[방방곡곡] 제주식 비빔고기국수’, ‘[애슐리] 크리스피 핫도그 4종 (택1)’가 있습니다.",,,,,11월,,,"[고래사] 어묵 떡볶이, [방방곡곡] 제주식 비빔고기국수, [애슐리] 크리스피 핫도그 4종 (택1)",,,,,,11월,,,,
추천,전남에서 무엇이 좋을까?,"전남에서는 ‘[청정원] 갈릭&어니언 토마토 파스타’, ‘[온더고] 간편 외식 덮밥 3종 (택1)’, ‘[비비고] 왕교자 455gx2개입’가 꾸준히 인기예요.",,,전남,,,,,"[청정원] 갈릭&어니언 토마토 파스타, [온더고] 간편 외식 덮밥 3종 (택1), [비비고] 왕교자 455gx2개입",,,,전남,,,,,,
추천,40대에서 인기 있는 메뉴는?,"40대에서는 ‘[자연담은] 국내산 현미 누룽지 800g’, ‘[11시 45분] 포두부 야채말이 비건 곤약김밥 (2개입)’, ‘[더포르미] 맛있는 잡곡밥 도시락 5종 (택2)’가 만족도가 높아요.",40대,,,,,,,"[자연담은] 국내산 현미 누룽지 800g, [11시 45분] 포두부 야채말이 비건 곤약김밥 (2개입), [더포르미] 맛있는 잡곡밥 도시락 5종 (택2)",,40대,,,,,,,,
추천,10월에서 무엇이 좋을까?,"10월에서 요즘 가장 많이 찾는 메뉴는 ‘[비비고] 납작교자 3종 315gx2개입’, ‘풍미가득 베이비케일 샐러드믹스 2종’, ‘[골라담기] 식단 도시락 골라담기 10종 (택2)’예요.",,,,,10월,,,"[비비고] 납작교자 3종 315gx2개입, 풍미가득 베이비케일 샐러드믹스 2종, [골라담기] 식단 도시락 골라담기 10종 (택2)",,,,,,10월,,,,
추천,수도권에서 추천해줘,"수도권에서 인기 TOP3 메뉴로 ‘[매일식탁] 의정부식 부대찌개 (2-3인용)’, ‘[마이셰프] 안동식 순살 듬뿍 찜닭’, ‘[프레시지] 차돌박이 숙주볶음’를 추천합니다.",,,,,,,,"[매일식탁] 의정부식 부대찌개 (2-3인용), [마이셰프] 안동식 순살 듬뿍 찜닭, [프레시지] 차돌박이 숙주볶음",,,,,,,,,,
추천,1인에서 잘 팔리는 상품은?,"1인에서 요즘 자주 찾는 메뉴는 ‘[사세] 특수부위 치킨립 숯불향바비큐맛’, ‘[미로식당] 국물 떡볶이 (1봉/2봉) (택1)’, ‘[한끼통살] 저당 도시락 5종 (1개입) (택2)’입니다.",,,,1인,,,,"[사세] 특수부위 치킨립 숯불향바비큐맛, [미로식당] 국물 떡볶이 (1봉/2봉) (택1), [한끼통살] 저당 도시락 5종 (1개입) (택2)",,,,,,,,,,
추천,6월에서 잘 팔리는 상품은?,"‘[최현석의 쵸이닷] 연어 스테이크 with 유자크림 소스’, ‘[햇반] 컵반 덮밥 시리즈 10종’, ‘[진실된손맛] 동짓날 팥죽 칼국수 (2인분)’ 메뉴가 6월에서 많은 사랑을 받고 있어요.",,,,,6월,,,"[최현석의 쵸이닷] 연어 스테이크 with 유자크림 소스, [햇반] 컵반 덮밥 시리즈 10종, [진실된손맛] 동짓날 팥죽 칼국수 (2인분)",,,,,,6월,,,,
추천,대구에서 추천해줘,"다양하게 즐기고 싶다면 대구에서 ‘[더라이스] 공밥 2종’, ‘[햇반] 컵반 덮밥 시리즈 10종’, ‘[김구원선생] 우삼겹 순두부찌개’ 메뉴를 추천해요!",,,대구,,,,,"[더라이스] 공밥 2종, [햇반] 컵반 덮밥 시리즈 10종, [김구원선생] 우삼겹 순두부찌개",,,,대구,,,,,,
트렌드,5인 이상 어떤 변화가 있나요?,5인 이상에서는 최근 1인 가구를 위한 상품의 인기도 높아지고 있습니다.,,,,5인 이상,,,,,,,,,5인 이상,,,,,
추천,2월에서 무엇이 좋을까?,"2월에서 인기 TOP3 메뉴로 ‘[풍납동 유천대가] 비빔메밀면 (2인분)’, ‘[스파게티스토리] 스파게티 3종 (매운까르보나라/토마토/베이컨크림) (택1)’, ‘[튀김공방] 고구마튀김’를 추천합니다.",,,,,2월,,,"[풍납동 유천대가] 비빔메밀면 (2인분), [스파게티스토리] 스파게티 3종 (매운까르보나라/토마토/베이컨크림) (택1), [튀김공방] 고구마튀김",,,,,,2월,,,,
추천,1월에서 잘 팔리는 상품은?,"1월에서 추천드릴 만한 메뉴는 ‘[방방곡곡] 정통 부산식 밀면 (2인분)’, ‘[그리팅] 불주꾸미볶음’, ‘[풀무원] 장 칼국수 2인분’예요.",,,,,1월,,,"[방방곡곡] 정통 부산식 밀면 (2인분), [그리팅] 불주꾸미볶음, [풀무원] 장 칼국수 2인분",,,,,,1월,,,,
추천,수도권에서 잘 팔리는 상품은?,"수도권 고객님들이 즐겨 찾는 메뉴로 ‘[금룡각] 중화 간짜장볶음밥 (2개입)’, ‘[The:푸짐한] 돼지고기 김치전골’, ‘[푸드어셈블] 사천식 제육볶음’를 추천해요.",,,,,,,,"[금룡각] 중화 간짜장볶음밥 (2개입), [The:푸짐한] 돼지고기 김치전골, [푸드어셈블] 사천식 제육볶음",,,,,,,,,,
추천,20대에서 추천해줘,"20대에서는 ‘[튀김공방] 칠리새우’, ‘[마이셰프] 유산슬’, ‘[식사이론] 저당 맵칼 떡볶이’가 꾸준히 인기예요.",20대,,,,,,,"[튀김공방] 칠리새우, [마이셰프] 유산슬, [식사이론] 저당 맵칼 떡볶이",,20대,,,,,,,,
추천,6월에서 인기 있는 메뉴는?,"6월에서 인기있는 메뉴로 ‘[동원] 퀴진 크리스피핫도그 400g(80gX5개입)’, ‘[콜린스 다이닝] 칠리 보리 부리또 샐러드’, ‘[그리팅] 감바스 알아히요’를 추천드려요.",,,,,6월,,,"[동원] 퀴진 크리스피핫도그 400g(80gX5개입), [콜린스 다이닝] 칠리 보리 부리또 샐러드, [그리팅] 감바스 알아히요",,,,,,6월,,,,
추천,충청권에서 잘 팔리는 상품은?,"충청권에서 자주 주문되는 메뉴는 ‘[시티델리] 투움바 치즈 아란치니’, ‘[호텔컬렉션] 에센셜 호만두 미니메밀전병 1kg’, ‘[풀무원] 식물성 지구식단 두부김치 한식교자 440g X 2입’예요.",,,,,,,,"[시티델리] 투움바 치즈 아란치니, [호텔컬렉션] 에센셜 호만두 미니메밀전병 1kg, [풀무원] 식물성 지구식단 두부김치 한식교자 440g X 2입",,,,,,,,,,
트렌드,여름 어떤 변화가 있나요?,여름에서 소비자들은 품질과 건강을 모두 고려하는 트렌드를 보여주고 있어요.,,,,,,,,,여름,,,,,,,,,여름
트렌드,3월 어떤 변화가 있나요?,3월에서는 한식뿐 아니라 다양한 메뉴의 인기도 꾸준히 증가하고 있습니다.,,,,,3월,,,,,,,,,3월,,,,
추천,전북에서 무엇이 좋을까?,"다양하게 즐기고 싶다면 전북에서 ‘[호밍스] 얼큰 김치만두전골’, ‘[리틀 후쿠오카] 매운 돈코츠 라멘’, ‘[온더고] 간편 고기 도시락 3종 (택1)’ 메뉴를 추천해요!",,,전북,,,,,"[호밍스] 얼큰 김치만두전골, [리틀 후쿠오카] 매운 돈코츠 라멘, [온더고] 간편 고기 도시락 3종 (택1)",,,,전북,,,,,,
추천,1월에서 추천해줘,"1월 고객님들이 즐겨 찾는 메뉴로 ‘[제일맞게컬리] 김치베이컨 현미곤약 주먹밥’, ‘[풀무원] 얄피꽉찬 고기한상교자 400g X 2입’, ‘풍미가득 베이비케일 샐러드믹스 2종’를 추천해요.",,,,,1월,,,"[제일맞게컬리] 김치베이컨 현미곤약 주먹밥, [풀무원] 얄피꽉찬 고기한상교자 400g X 2입, 풍미가득 베이비케일 샐러드믹스 2종",,,,,,1월,,,,
트렌드,4월 특징이 있나요?,4월에서는 한식뿐 아니라 다양한 메뉴의 인기도 꾸준히 증가하고 있습니다.,,,,,4월,,,,,,,,,4월,,,,
추천,경기에서 무엇이 좋을까?,"경기에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘[고래주방] 동글동글 모양 떡볶이’, ‘[1999 옛날] 홍대 떡볶이’, ‘[LITTLENECK] 리틀넥 스테이크 키트’를 추천드려요.",,,경기,,,,,"[고래주방] 동글동글 모양 떡볶이, [1999 옛날] 홍대 떡볶이, [LITTLENECK] 리틀넥 스테이크 키트",,,,경기,,,,,,
추천,겨울에서 추천해줘,"겨울에서 요즘 자주 찾는 메뉴는 ‘[동원] 개성 감자 만두 2종 1.2kg (택1)’, ‘[정지선의 티엔미미] 새우완탕면’, ‘[Picard] 시골 감자튀김’입니다.",,,,,,,,"[동원] 개성 감자 만두 2종 1.2kg (택1), [정지선의 티엔미미] 새우완탕면, [Picard] 시골 감자튀김",겨울,,,,,,,,,겨울
트렌드,2월 소비 트렌드는?,2월에서 가족 단위 주문이 늘면서 다양한 패밀리 메뉴가 인기예요.,,,,,2월,,,,,,,,,2월,,,,
추천,대전에서 인기 있는 메뉴는?,"대전에서 인기있는 메뉴로 ‘[골라담기] 식단 도시락 골라담기 10종 (택2)’, ‘[비비고] 새우왕교자 315Gx2개입’, ‘[컴포트잇츠이너프] 클래식 보리밀 350g’를 추천드려요.",,,대전,,,,,"[골라담기] 식단 도시락 골라담기 10종 (택2), [비비고] 새우왕교자 315Gx2개입, [컴포트잇츠이너프] 클래식 보리밀 350g",,,,대전,,,,,,
추천,30대에서 추천해줘,"30대에서 먹기 좋은 메뉴로는 ‘[프레시지] 블랙라벨 스테이크’, ‘[아우름] 바다를 품은 솥밥키트 2종 (냉동) (택1)’, ‘[LITTLENECK] 리틀넥 명란 크림 파스타’가 있습니다.",30대,,,,,,,"[프레시지] 블랙라벨 스테이크, [아우름] 바다를 품은 솥밥키트 2종 (냉동) (택1), [LITTLENECK] 리틀넥 명란 크림 파스타",,30대,,,,,,,,
트렌드,7월 특징이 있나요?,7월에서는 가격대와 양을 모두 고려한 실속 메뉴에 대한 선호가 두드러집니다.,,,,,7월,,,,,,,,,7월,,,,
추천,3인에서 인기 있는 메뉴는?,"요즘 3인에서 많이 찾는 메뉴는 ‘[제일맞게컬리] 전주비빔 현미곤약 주먹밥’, ‘[켈로그] 단백질바K (50g*3입)’, ‘[OTTOGI] 맥앤치즈볼 300g’입니다.",,,,3인,,,,"[제일맞게컬리] 전주비빔 현미곤약 주먹밥, [켈로그] 단백질바K (50g*3입), [OTTOGI] 맥앤치즈볼 300g",,,,,,,,,,
추천,대가족에서 잘 팔리는 상품은?,"다양하게 즐기고 싶다면 가족에서 ‘[청정원] 순창 양념쌈장 190g’, ‘[마켓오네이처] 오! 그래놀라 저당 통보리 360g’, ‘[모두의맛집] 정호영 셰프 규동 덮밥’ 메뉴를 추천해요!",,,,가족,,,,"[청정원] 순창 양념쌈장 190g, [마켓오네이처] 오! 그래놀라 저당 통보리 360g, [모두의맛집] 정호영 셰프 규동 덮밥",,,,,,,,,,
추천,혼자에서 잘 팔리는 상품은?,"혼자에서는 최근 ‘[식사이론] 저당 맵칼 떡볶이’, ‘[메디쏠라] 암케어 식단 도시락 9종 (택1)’, ‘[추천레시피] 오트밀로 만드는 미역죽&계란참치죽 7종 (택1)’가 인기 급상승 중입니다.",,,,혼자,,,,"[식사이론] 저당 맵칼 떡볶이, [메디쏠라] 암케어 식단 도시락 9종 (택1), [추천레시피] 오트밀로 만드는 미역죽&계란참치죽 7종 (택1)",,,,,,,,,,
추천,혼자에서 무엇이 좋을까?,"혼자에서는 최근 ‘[동원] 양반 현미밥 130g (24입)’, ‘[쉐푸드] 묵은지 참치 김밥’, ‘[그라놀로지] 오트 펍스 300g’가 인기 급상승 중입니다.",,,,혼자,,,,"[동원] 양반 현미밥 130g (24입), [쉐푸드] 묵은지 참치 김밥, [그라놀로지] 오트 펍스 300g",,,,,,,,,,
추천,간편식에서 추천해줘,"이용자에서 트렌디하게 즐기는 메뉴로 ‘[하코야] 살얼음 동동 냉메밀 소바 2인분’, ‘[풀무원] 얄피꽉찬 생 물만두 X 3입’, ‘[고래사] 어묵면 떡볶이’를 추천합니다.",,,,,,간편식,,"[하코야] 살얼음 동동 냉메밀 소바 2인분, [풀무원] 얄피꽉찬 생 물만두 X 3입, [고래사] 어묵면 떡볶이",,,,,,,간편식,,,
추천,4월에서 무엇이 좋을까?,"‘[쉐푸드] B.E.L.T 샌드위치 & 닭가슴살 흑임자 샌드위치 (택1)’, ‘[오뚜기] 옛날 구수한 누룽지 240g’, ‘[피자로빈슨] 뉴욕 메가 슬라이스 피자 3종 (택1)’ 메뉴가 4월에서 많은 사랑을 받고 있어요.",,,,,4월,,,"[쉐푸드] B.E.L.T 샌드위치 & 닭가슴살 흑임자 샌드위치 (택1), [오뚜기] 옛날 구수한 누룽지 240g, [피자로빈슨] 뉴욕 메가 슬라이스 피자 3종 (택1)",,,,,,4월,,,,
추천,5월에서 잘 팔리는 상품은?,"5월에서 자주 주문되는 메뉴는 ‘[LOTS OF LOVE] 한끼든든 시원한 황태국밥 (리뉴얼)’, ‘[올바르고 반듯한] 감자 모짜 찰핫도그’, ‘[마마리] 우리쌀 떡국 (2인분)’예요.",,,,,5월,,,"[LOTS OF LOVE] 한끼든든 시원한 황태국밥 (리뉴얼), [올바르고 반듯한] 감자 모짜 찰핫도그, [마마리] 우리쌀 떡국 (2인분)",,,,,,5월,,,,
추천,전남에서 잘 팔리는 상품은?,"전남에서 요즘 자주 찾는 메뉴는 ‘[동원] 양반100밥 130gx6입 4종 (택1)’, ‘[쉐푸드] 우유 미니 핫도그 500g’, ‘[켈로그] 다크 초코 프로틴 딜라이트 그래놀라 350g’입니다.",,,전남,,,,,"[동원] 양반100밥 130gx6입 4종 (택1), [쉐푸드] 우유 미니 핫도그 500g, [켈로그] 다크 초코 프로틴 딜라이트 그래놀라 350g",,,,전남,,,,,,
추천,대경권에서 추천해줘,"대경권에서 트렌디하게 즐기는 메뉴로 ‘[애슐리] 해물 누룽지탕 밀키트’, ‘[윤서울] 매콤 고사리 비빔면’, ‘[요고델리] 페스트리 샌드위치 3종’를 추천합니다.",,,,,,,,"[애슐리] 해물 누룽지탕 밀키트, [윤서울] 매콤 고사리 비빔면, [요고델리] 페스트리 샌드위치 3종",,,,,,,,,,
추천,봄에서 인기 있는 메뉴는?,"‘[Picard] 병아리콩과 채소를 곁들인 쿠스쿠스’, ‘[쌉 : SAAP] 태국식 오향 쌀국수’, ‘[금미옥] 쌀 떡볶이 (2개입)’ 메뉴가 봄에서 많은 사랑을 받고 있어요.",,,,,,,,"[Picard] 병아리콩과 채소를 곁들인 쿠스쿠스, [쌉 : SAAP] 태국식 오향 쌀국수, [금미옥] 쌀 떡볶이 (2개입)",봄,,,,,,,,,봄
트렌드,전남 어떤 변화가 있나요?,전남에서는 한식뿐 아니라 다양한 메뉴의 인기도 꾸준히 증가하고 있습니다.,,,전남,,,,,,,,,전남,,,,,,
추천,11월에서 추천해줘,"1월에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘최현석의 디트로이트 피자 3종’, ‘[3개이상 구매시 33%][전주 베테랑] 칼국수’, ‘[샐러드판다] 누들 샐러드 5종 (리뉴얼, 택1)’를 추천드려요.",,,,,11월,,,"최현석의 디트로이트 피자 3종, [3개이상 구매시 33%][전주 베테랑] 칼국수, [샐러드판다] 누들 샐러드 5종 (리뉴얼, 택1)",,,,,,11월,,,,
트렌드,건강 어떤 변화가 있나요?,요즘 이용자에선 다양한 카테고리의 인기가 높아지고 있습니다.,,,,,,,,,,,,,,,,,,
추천,봄에서 무엇이 좋을까?,"봄에서는 ‘[또보겠지떡볶이집] 떡볶이 1봉/2봉 (맵기선택)’, ‘[풀무원] 지구식단 두유면 동치미냉면’, ‘[푸디버디] 부드러운 유기농 쌀밥 3입’가 만족도가 높아요.",,,,,,,,"[또보겠지떡볶이집] 떡볶이 1봉/2봉 (맵기선택), [풀무원] 지구식단 두유면 동치미냉면, [푸디버디] 부드러운 유기농 쌀밥 3입",봄,,,,,,,,,봄
추천,서울에서 잘 팔리는 상품은?,"서울에서 한 끼 해결하기 좋은 메뉴로 ‘[풀무원] 아티장 먹물 오일 파스타 (2인분)’, ‘[로스옥] 아롱사태 스지수육’, ‘[햇반] 컵반 덮밥 시리즈 10종’를 추천드려요.",,,서울,,,,,"[풀무원] 아티장 먹물 오일 파스타 (2인분), [로스옥] 아롱사태 스지수육, [햇반] 컵반 덮밥 시리즈 10종",,,,서울,,,,,,
추천,충남에서 추천해줘,"충남에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘[하남돼지집] 매콤 두부 콩나물 불고기’, ‘[이연복의 목란] 우육탕면’, ‘[1+1][바람의 핫도그] 치킨 브레스트 400g (100gX4개입)’를 추천드려요.",,,충남,,,,,"[하남돼지집] 매콤 두부 콩나물 불고기, [이연복의 목란] 우육탕면, [1+1][바람의 핫도그] 치킨 브레스트 400g (100gX4개입)",,,,충남,,,,,,
