리뷰,리뷰길이,예측평점
냉동실 쟁이는 식품,10,3
컬리 구입할 때마다 주문하는 돈까스 입니다,23,5
컬리에서 늘 구입하는 제품입니다 맛있어요,22,5
양도 많고 맛있어요 간편하게 먹을 수 있어서 좋네요,28,5
컬리 돈까스 도톰해서 좋아요,15,4
반찬없을때 좋아요,9,5
기름쪽빼서 먹으면 더욱 맛있어요,17,5
기름쪽 빠지도록 에어프라이기 에 조리합니다,23,5
통통한 고기가 식감이 좋아요,15,5
돈까스 맛있네요에어프라이어에 돌리니 딱 좋아요,25,5
돈까스 좋아하는 아들 잘먹네요,16,5
통등심 돈가스 등심의 육질에 깜짝 놀람요 맛은 최고 입니다 또 또 주문할게요,42,5
먹어보고 맛있아서 또 샀어요,15,5
재구매했습니다,7,5
돈까스 맛있어요 바삭하니 에어프라이에 굿,22,5
이거 진짜 너무너무너무 맛있어요 에프돌려먹는데 진짜 튀긴것처럼 바삭바삭하니 가게에서 먹는것처럼 맛있네요 또시키러올게용,65,5
후기보고구매했어요 두껍고좋아요,16,5
무난무난한 돈까스 항상 쟁여놔요,17,5
고기가 두툼하고 질이 좋아요 세일해서 또 구매했습니다,29,5
반찬없을 때 비상용으로 구비해둬요,18,5
통등심 후기 좋아서 사봅니다 먹어보고 후기 남길게요,28,4
이 돈까스 가성비 너무 좋아요 컬리에서 돈까스 여러종류 시켜봤는데 가격대비 개수도 많이 들어있고 맛도 탑쓰리안에 듭니다,66,5
너무 맛있어요 에프에 돌려 먹으면 바로 한것같이 맛있네요,31,5
먹었던 돈까스중 제일 맛있는것 같아요,20,5
맛있어요 에어프라이어에 구우면 되니 간편,22,5
후기가 좋아서 처음사봤어요 맛있길 바라요,22,5
제입엔 넘 별로,8,2
어른도 아이도 맛있게 잘 먹었어요,18,5
컬리제품중에 가장 많이사먹는 제품이에요 맛있다고 샀다가도 몇번먹다보면 냄새나서 안사게되는경우의 제품들도 몇몇개있는데 요건 한번도 절 실망시킨적이없어요 우선은 기름에튀기지않고 에어후라이기에 돌려서먹으면 되니 요리도 간편해지고 기름지지도않고 제가좋아하는 겉바속촉 이라서 더더 좋아요 5조각 들어있구요 튀김옷이 엄청 얇진않지만 고기도 적당한 두께감이있어서 비율적으로 적당하다고 생각해요 전 돈까스먹을때 꼭 같이먹는것중 하나가 깍뚜기랑 와사비에요 궁합이 잘맞더라구요 냉모밀이나 비빔국수 우동 같이먹는걸 좋아하는데 이번엔 냉모밀이랑 먹었어요 전날 모밀육수 만들어서 냉동실에 살짝얼놓았어요 냉모밀은 겨울에먹어도 육수가 차가워야 맛있더라구요 에어후라이기에 돈까스넣어서 190도에 15분 뒤집어서 180도에 14분 돌려요 전 바삭한돈까스를 좋아해서 설명서보단 좀더 돌려요 에어후라이기에돌릴때 종이호일깔고 돌리는데 뒤집어줄때 종이호일을 바꿔주면 더 바삭하게 구울수있어요 종이호일에 기름이 떨어져서 그냥 그대로 구우면 덜바삭해지는거같더라구요 빠진기름을 돈까스가 조금 먹는느낌 양상추샐러드 만들어서 접시에 담아두고 에어후라이기에 돌린 돈까스 컬리에서 산 가위로 이쁘게 잘라서 신랑이랑 맛있게먹었어요 살까말까 고민중인분이 많으시다면 꼭 추천드려요,629,4
세일할때 얼른 구매했어요 돈까스 맛에 까다로운 편이라 냉동은 치즈만 먹는편인데 그냥 돈까스도 너무 말있고 손색이 없네요 오자마자 이틀동안 먹고 두장 남았어요 두께감 사진 찍어봅니다,100,5
맛있어요 오랜만에 구매해서 먹어요,18,5
배송도 빠르고 상품도 만족합니다 굳,19,5
맛있어여 두툼하니,9,5
간편해서 좋아요 에어프라이어에 돌려도 기름이 많아요,28,4
먹을만 합니다 냄새없으면된거죠,16,3
이거 맛있어서 두번째 구매,14,5
좋아하는 돈까스예요 가성비 최고에요,19,5
늘 주문하는 제품입니다,12,5
할인할때마다 쟁여놓는 제품인데 에프에 돌리면 간단히 괜찮은 한끼 완성이라 완전 맘에 듭니다,50,5
아이들 주기 좋네요 냄새도 많이 안나서 더 좋아요 또 사러 올게요,36,5
와 이거 고기 함량보고 사봣는데 꽤 맛잇음요 인내심을 가지고 에프에서 오래 최대한 오래 물기가없을때까지 데으면 미침 바삭함으로 천장 까질뻔 느끼하지도 않고 연돈 저리가라,94,5
오븐에 간편하게 구워 먹을 수 있습니다,21,4
여전히주문하는 제품중하나에요 그냥 기름에튀겨먹어도맛잇어요,31,5
평이좋아서 구매해 보았습니다 통등심이라니 맛이 기대가됩니다,32,5
맛있었으면 좋겠네요 안녹고 잘 왔어요 포장지는 좀 훼손되었네요,34,4
통통해서 맛있어여,9,5
후기좋아서 구매해봅니다 생각보다 바삭하고 맛있어요 냄새도없고 5조각이에요 제가 돈까스를 좋아해서,53,5
괜찮은 상품 입니다,10,4
바싹하니 뒷면기재된대로 조리하면 맛있어요 소스는 컬리에 판매하는 저칼로리 소스 잘 어울려요,50,5
아이가 잘 먹어요 에프에 돌려 먹음 바삭하고 맛나요,28,5
고소하고 두툼해요,9,4
바삭하고 푸짐해요,9,5
냉동실에 없으면 허전합니다 항상 애용하는제품입니다,27,5
통등심 돈까스 후기가 좋아 구매합니다,20,5
컬리에 여러 돈까스가 있지만 전 이 돈까스가 제일 맛나네요 양도 많구요 지인들에게 적극 추천합니다,54,5
냉동실에 항상 쟁여두는제품입니다 간편하고맛있어요,26,5
항상 구매하는제품입니다 양맛 모두 좋아요,22,5
비싸긴 한데 맛있어요 세일 좀 많이 해주세요,24,4
통등심돈까스 최고,9,4
후기가좋아서 사봤어요 맛있었으면좋겠네요,21,5
두툼하고 잡내없고 바삭바삭 맛있어요,19,5
할인가에 사서 좋네요 두장씩 먹으니까 빨리 소진되요,28,5
두툼하고 맛있네요,9,5
쟁여템 두꺼워서 좋아요,12,5
항상 잘 먹고있는 제품이라 구매,17,5
가격도 착하고 에어프라이용이라 구매합니다,22,5
집에서 간단히 먹기 좋앙노,14,5
간편하니 맛도 좋아요,11,5
상품평좋아서 구매해봤어요 내일먹어보려고요,22,5
가츠동 해주면 남편이 잘 먹어요,17,5
다먹기 전 꼭 재구매합니다,14,5
반찬으로 아주 좋아여,11,5
세일시 항상 삽니다 200도 에프에 20분이내로 기름없이 바삭해요,36,5
깨끗햤으면 좋겠어요,10,5
두툼하고 잡내없고 맛있어요,14,5
한번 사봤어요 맛있길,11,4
맛은 쏘쏘 에프에 돌리는 시간 감안하면 좀 오버쿡 되는 느낌이예요 기름때문인지 완전히 익혀서 그런건지 겉 색만 보면 너무 오버쿡한것처럼 보여요,79,3
에어후라이어에 돌렸는데 좀 뻑뻑하네요,20,4
두툼해요 맛있어요,9,5
에프에 돌려먹으니 애들이 맛있다고 하네요,22,4
에어프라이어로 돌렸더니 생각보다 맛있어서 재주문 합니다,30,5
평범하고 냄새 안나고 늘 먹던 맛 반찬 없을때 간단히 먹기 좋아요,36,5
진짜 겁나 맛있어요 밥반찬 뚝딱,17,5
맛있어요 근데 가끔 시커멓고 질긴 고기가 있어요,26,4
통등심이라고 해서 도톰할지 알았는데 그건 아니였어요 그래도 시중에 판매되는 돈까스 중에는 제일 괜찮은거 같아요,61,4
봉투오픈하니 신선한 기름향이 넘 좋아요 두툼해서 에프에하니 정말 맛있어요 샌드위치에도 좋아요,51,5
돈까쓰 너무 좋아하는데 집에서 기름 넣고 튀겨먹기는 부담스럽고 에어프라이용이라 너무 좋아요,50,5
가격 크기 포장 모두 만족하는 돈까스입니다 튀김옷이 분리되긴하지만 바삭바삭 맛있어서 용서가 됩니다 5개 들어있어요,63,5
소분해서 냉동고에 넣고 하나씩 구워 먹으니 편하고 맛있네요,32,5
사진 혐오 주의 죄송 먹다 찍었 오모나 맛있음 게다가 이미 다 튀겨져있고 연함 다먹으면 재구매 할 예정 저녁은 모 먹나를 싸겨 깔끔하게 해결 집에 사보텐 소스가 있어서 그거랑 먹으니 식당에서 먹는 맛이었다,114,1
기름이 좀 많네요 재구매는 안해요,18,3
돈까스집 파는것만큼 맛있어요,15,4
집에서 에어후라이로 해 먹는 돈까스중에 제일 나은거 같음,31,5
냉동식품 돈가스가 뭐 얼마나 맛있겠어라고 생각하며 한번 시켜서 먹어 보았는데 참 맛있게 먹었네요 굽기 전 냄새를 맡아 보았는데 냄새도 맛있는 냄새가 나네요 이 상품의 이 맛 변치 않는다면 계속 사 먹을 거예요,116,5
컬리 통등심 돈까스 세일하길래 기쁜마음으로 구매합니다,29,5
저렴하고 맛있어서 매번 시켜먹어요 가성비 좋아여,26,5
간편하게 먹기 좋네요,11,5
급하게 반찬 없을 때 먹기에 너무 좋아요,22,5
도톰하니 좋은데요,9,5
돈까스 김치나베 해먹으려고 샀어요 양도 많고 두툼해 보이는 게 맛있을 것 같습니당,45,5
냄새없고 좋아요 34번째 구매함,17,5
가성비 좋은 돈까스라서 냉동실에 자주 쟁겨놓습니다,27,5
돈까스 튀겨먹으면 맛있어요 가성비 좋습니다,23,5
간편식 필요해서 샀어여,12,5
고소하고 맛있어요,9,5
돈까스 가성비 좋아요 굿,13,5
바삭하고 두툼하고 맛잇네요,14,5
가성비짱 여러번 재구매하게 되는 아이템입니다,24,5
에어프라이어용으로 편하긴 한데 기름이 많이 나와서 별로 맛은 있어요 기름이 많아서그런가,48,4
아직 안 먹어봤는데 맛있었으면 좋겠네용,21,5
가성비 좋은 돈까스에요,12,4
에어프라이어에 돌려서 해먹기 편하네요 맛있게 잘 먹었어요,31,5
맛있어요 에어프라이기로 간단하게 조리해서 편하구 맛나용,30,5
두껍고 바삭하고 맛있어요,13,5
에어프라이어 이기 용이라 기름지지 않고 바삭 하니 먹기 좋아요,34,5
바삭하고 맛있고 간편합니다 항상 냉동고에 구비해둡니다,29,5
평범하니 괜찮아요,9,3
맛있고 가성비 갑이에요,12,5
간단히 먹을수 있어서 좋아오,15,5
통등심 돈까스 두껍고 기대이상입니다 재구매의사100,28,5
마지막 시켰을 때 너무 검고 티끌이 많아 그 뒤로 구매 안하다 새일햐서 사봤어요 이제 깨끗하네요 다시 자주 살듯,62,4
두툼하고 맛있네요 또 구매할께요,17,5
에어프라이어에 간편하게 해먹을수있어서 좋아요,24,5
기름냄새 없이 에프에 돌려 바로 먹을수 있어 좋네요 두툼하고 맛도 좋아 만족합니다,45,5
너무 맛나요 매번 사먹는 품목이 될고같아요,23,5
돈까스 무난하니 맛나네요,13,4
가격대비 좋아요 근데 납짝한 옛날돈까스는 만드실 생각이없는지 납작 돈가스 취향이라 두꺼운거 잘안사게되네요,58,3
집에서 에프에 간단히 돌려먹기 넘 좋아요,22,5
돈까스 잘 안 먹는데요 행사해서 구매했어요 이미 한 번 튀긴거라 기름 안넣어도 돼서 편해요 맛은 평범 하구요 에어프라이어로 잘 안익어서 시간이 의외로 오래 걸리네요 차라리 후라이팬에 굽는 게 더 빠르겠어요,114,4
아이들 돈가스 에어후라이에 후다닥 만들수 있어요 바삭 도톰하네요,35,5
가성비가 좋아보여요 아직 먹기전이라 맛있으면 사먹을듯,29,4
아직 먹어보질못했네요,11,4
열번은 더 구매한것같아요 무난해요,18,4
자주 이용합니다 마켓컬리 자체제품은 일단 맛은 좋은편이에요,32,4
첫구매인데 기대한 것처럼 맛있어요,18,5
마트에 파는 냉동 돈가스보다 저렴해서 구매해 봤어요 아직 안먹어봤는데 기대돼요,43,5
비상 반찬용으로 구입했어요 맛있었으면 좋겠네요,25,4
세일할떄 구매했는데 고기도 실하고 좋아요,22,5
번째 구매중입니다 반찬 없을때 에프 돌려주면 신랑도 아이도 좋아해요,37,5
에프에 넣어두면 완성이라 진짜 편하고 바삭바삭 고기도 두툼하고 진짜 갓성비에요 맛있어용,48,5
바삭바삭 맛있게 구워져요,13,5
에프에 10분정도 귔는데 방금 튀긴것처럼 바삭하고 맛있어요 냄새도없고 추천해주고싶을만큼 가격대비넘좋아요,57,5
기대보다 훨씬 맛있네요,12,5
아직 먹어보진 안았지만 후기가 많아서 구매했어요,26,5
세일 할때 쟁여 놓습니다,13,5
그냥저냥 먹을만해요 저는 작은사이즈가 더 맛있더라고요,29,3
에프가 없어 오븐에 돌리는데 바삭하기는 하나 많이 느끼한 기분이에요 돈가스가 기름이 절어진 느낌이요 그래도 고기가 두꺼워 씹는 맛이 있습니다,78,2
금방 조리되어 먹기 편해요,14,5
돈까스 김밥 해 먹으려구요 기대되요,19,5
에어프라이어용이라 참 편해요,15,5
간단하게 조리하고 맛있게 먹어서 좋아요,21,5
늘 사는 상품 입니다,11,5
에프에 돌려서 먹으니 좋네요카레에 곁들여서 먹으니 더 잘먹네요식구들이,38,5
자주 사먹는 에어프라이어용 통등심 돈까스 맛있습니다 떨어질때마다 재구매 합니다,43,5
편리하고 맛도 좋아요,11,5
냉장고에 항상 쟁여둡니다,13,5
크기도 적당하고 에프에 돌리기만하면되서 너무 편해요 재재재재재재 구매템이예요,42,5
돈까스 김치 나베 하려고 구매해요,18,5
냉동실에 꼭 있는 돈까스,13,4
맛있게 먹어서 또 주문했는데 밤 9시에 도착했어요,27,4
김밥쌀때 넣으니까 돈까스김밥이 되었네요,21,5
요리하기 편하고 맛나고 좋아용,16,5
미니돈까스 먹어보고 맛있어서 큰 걸로 시켜봄,24,4
아이가 맛있게 먹어요,11,5
크기도 크고 두툼해요,11,4
나쁘지 않아서 행사하면 구매해요,17,4
믿고먹는 컬리제품 이에요,13,5
맛나요 또 주문할게요 돈까스 사랑입니다,21,5
육즙도있고 맛있어요,10,5
에어프라이어에 조리해서 먹으면 맛납니다,21,5
재구매에요 카레먹을때도 같이 먹어용,19,5
에어프라이어에 15분 돌려서 먹었어요,20,4
먹기 간편하고 맛도 좋아요,14,5
돈까스 맛있어서 재구매합니다,15,5
첫구매요 가성비 좋다는 후기보고 샀어요,21,5
몇번째 재구매인지 맛있어요 추천이요,19,5
밖에서 돈가스1인분 사먹을 가격으로 돈가스5장 먹을수있어요 맛도 좋아요,39,5
가성비 좋다고 하네요 근데 튀겨서 나온거라 후라이에 돌려도 고기랑 튀김이 따로 놀아요,47,4
에프라이어에 하는 것 보다 기름에 튀기니 더 밋있네요,29,4
이 돈가스 이젠안사요 꾸준히 하나씩 사먹어서 아는데 점점갈수록 퀄리티 떨어지는게 신기하네요 워낙 막입이라 항상 먹는데 이건 진짜 막입이어도 먹기싫고 돈가스자체가 너무맛없어요,96,2
배송감사합니다 돈까스 맛있어요,16,5
고기도 두툼하고 괜찮아서 자주 사게되네요 미니돈가스 보단 이게 더 나은듯요,41,5
돈가스는 제 손으로 만들어 먹었는데 컬리 돈가스를 만난 이후로는 만들지 않아요 집에서 만들어도 고기가 더 두꺼운 것 빼면 컬리 제품과 별 차이가 없더라고요 심지어 가격도 차이가 많지 않아요 튀기지 않은 냉장 돈가스를 주로 구입했는데 할인할 때 이 제품 구입해 보니 편하고 좋네요,155,4
지난번에 맛있길래 재주문했어요,16,5
항상 먹는 돈까스,9,4
오늘도 역시 맛있네요 매일 주문할때마다 시키는거예요 잘먹겠습니다 돈돈가스,40,5
에어에 돌려 주면 아이들 반찬으로 참 좋아요 맛있어요,29,5
저렴해서 자주 시키게 돼요맛도 있구요,20,5
돈가스 오랜만에 재구매해보네요,16,5
큼직하고 튀겨져나온거라 편해요 다른제품보다 저렴하게 잘 구매했어요,36,5
늘 쟁겨놓는 돈가스예요,12,5
고기 누린내 나지않고 가성비로 먹을수있는 제품이라 늘 구입합니다,35,5
항상 잘먹고있어요 추천,12,5
좋아요 애들이 잘 먹습니다,14,5
조아요 상품이 좋습니가,12,4
아이 반찬으 로 종종 해줘요,15,5
좋아요 맛있어요,8,5
에프에 세워서 두번 구우니 기름도 좀 빠지고 더 맛있네요,31,5
돈까스는 이 제품으로 정착했습니다,18,5
돈까스 맛나네요 재구매 의사 있어요,19,5
에프돌려먹으면 바삭하고 맛있어요 냉동돈까스 실망할때가 많은데 요건 맛나서 두봉지 더 구매했네요,52,5
에프돌려서 먹었는데 바삭하고 맛나서 두봉지 더 구매했어요 신랑이 아주 좋아하네요,44,5
빠른배송 겁나 빨라요,11,5
세일해서 쟁여쟁여 둿어요 맛닛엇으면 좋겟네용,24,5
그냥 일반적인 돈까스 맛,13,2
돈까스 먹고싶어 오랫만에 재구매합니다,20,5
가격도 착하고 후기가 좋아서 시켜봤는데 재구매의사 200프로입니다 일단 입맛이 예민한 편인데 냄새전혀 안나구요 에프기로 돌렸더니 바삭바삭합니다 유딩과 초딩 양파카레에 해줬더니 평소먹는양에 두배는 먹은것같아요,115,5
냄새없고 맛있어요,9,5
생각보다 맛있네요 또 살것같아요,17,5
남편 해 주려고 구매했어요 나쁘지 않다고 하네요,26,5
맛있어서두번째 구매 합니다 맛 괜찮아요,21,5
아직 먹기전 봉지에 지퍼락이라도 있었으면 지퍼락에 새로 담아야하는 불편함이 조금 있네요,48,4
그냥 먹을만 했어요,10,3
음 평이 좋아 샀는데요 저는 개인적으로는 별로였어요 힘줄같은 게 씹히기도 하고 겉은 바삭하지만 자꾸 튀김이랑 고기가 분리되고그냥 싼 게 비지떡 느낌이었어요,86,2
너무 맛있게 잘먹었어요 에프에 돌리기만 하면 되니 간편해서 좋구요재구매하려 다시 접속했어요,50,5
애용하고 있습니다 감사합니다,15,5
에어프라이어용 돈까스는 기름에 직접 튀긴 것 보다 맛이 덜하다고 생각했는데 이건 만족스럽네요 한개 네등분해서 돈까스 김밥 두줄 쌌는데 바삭하고 맛있어요,84,5
뼈가들어잇는돈까스 먹다 이나가것어요,19,3
에프로 구우니 편하고 맛도 이정도면 괜춘,22,5
잘받앗어요 조아욘,9,4
지난번에 사먹고 맛있어서 재구입 상품입니다 잘 먹고 있어요,32,5
첫구매 에어프라이어에 바삭하게 구워서 맛있게 먹었어요 재구매의사100,38,5
더오담 돈까스만 사먹다가 세일해서 사봤어요 맛있으면 좋겠네요,33,5
간단히 간편하게 좋아요,12,5
전 에어프라이어 보다는 튀김은 역시 기름에 튀기는게 맛있다고 생각하는 사람이라서 기름에 튀거 먹어요 두툼 그자체 재구매 의사 있습니다 엄지척,78,5
맛있어요 고기잡내없어요,12,5
신선하고 파삭하고 맛있어요,14,5
쟁이는 식품이에요 너무 간편하고 좋아요,21,5
아이 반찬으로 쟁여 두는 아이템이예요,20,5
크기도 큼직하고 에어프라이어에 간편히 익혀먹어도 맛있어요,31,5
진짜 가성비 최고 알찬 돈가스 맛이에요,21,4
냉동실 비상식품으로 사둡니다 주로 에어프라이어에 구워서 돈까스카레해먹어요,40,5
만족합니다 추천합니다,11,5
돈까스 먹고 싶을때 간편하게 먹기 좋아요,22,5
간편하고 맛있고 반찬없을때 뚝딱,17,5
돈까스가 바삭바삭하고 돈까스소스와 먹으니 맛있네요,27,5
두툼하고 맛있어서 여러번 구매했어요,19,5
또샀어요 맛있더라구여 잘먹을게요,17,5
자주 구매해요 맛잇어요,12,5
에어프라이어에 요리하니 간편하고 좋아요,21,5
매번 다먹기전에 주문해요 맛있어요,18,5
에어프라이에 구우면 바삭하니 맛있어요,20,5
가성비 좋은 돈가스,10,4
가성비 좋고 간편해서 자주 구매 합니다 맛있어요,26,5
자주 구입하는 제품이에요 에어프라이어에 익히면 되니 편리해요,33,5
냉동실 쟁여탬중에 하나죠 반찬없을 땐 역시 돈가스,27,5
음제기준으로는 튀김옷이 별루에요 에프에 오래 돌려도 바삭한 맛이 없고 좀 눅눅하다고 해야하나 재구매는 안할듯 싶어요,64,2
비상식량이예요 마땅하게 반찬없을때 해먹기 좋아요,26,5
에프기에 구워서 먹어여,12,4
매번 사요 생돈까스보다 맛은 덜한데 편해요,23,5
항상 먹는 돈까스,9,4
진짜 편해서 자주 시켜먹어요,15,5
카레돈까스 할때 필수뭄 에어프라이기에 돌리면 바싹하니 통등심이라 더 맛있어요,42,5
에어프라이어에 돌리기 편합니다,16,5
두번째 주문해봅니다,10,5
고기 두툼하고 잡내없이 맛있어요,17,5
고기 두께감도있고 맛도 좋아요,16,5
나베 해먹었는데 맛있어요,13,5
담백하니 맛있네요,9,5
한 번 튀겨서 냉동한 제품이라 에어프라이어에 조리가 간편해요 생등심은 속까지 잘 익히는게 신경쓰이는데 이 제품은 시간만 신경쓰면 되니 좋아요,78,5
맛있어서 재구매합니다,11,5
세일할 때 사서 도시락으로 잘 싸는중,20,5
튀김옷이 두꺼운 것 빼고 진짜 맛있어요 두툼하고 육즙도 많구요,34,5
냉동실에 쟁여두면 든든한 밥반찬 에프에 돌려먹으니 좋아요,31,5
생등심 돈가스에 감동받아 시켜봤어요 생만큼은 아니지만 간단히 먹기 좋네요 다음부턴 생등심으로 주문할 것 같아요,61,5
간편하고 맛있어요 비상반찬으로 쟁여요,20,5
아이 반찬으로 잘 먹이고 있어요,17,5
미니용에서 사이즈 큰걸로 다시 구매합니다,22,4
구매해놓고 오늘 처음 먹었는데 씹히는맛이 있는게 아주 좋네요,33,5
돈가스가 가성비가 좋아요 맛있습니다,19,5
빠지지 않고 재구매합니다 맛도 좋고 편리해 강추합니다,29,5
맛있어서 재구매했어요,11,5
무난한 제품이예요,9,4
하나 사두면 오븐에 돌려서 저녁 맛있게 먹습니다 230도에 20분은 돌려야 안까지 잘익더라구요 요건 조금 오버쿠킹해도 겉이 안타더라구여,75,5
5개 들어있는데 하나 먹으면 딱 좋아요,21,5
먹기 넘 편해서 이제 돈까스 집에거 안튀겨요,24,5
아주 자주 구매해요 커리랑 같이 먹어요,21,5
기대 이상으로 맛있어요 카레 돈까스에 젤 좋았어요,27,4
먹던거로 맛있어요,9,5
아직 먹어보지 암았는데 후기가 좋아 기대됩미다 맛있기를,30,5
평이 좋아서 구매해보았습니다 맛있게 먹을께요,24,5
없으면 허전한 냉동실 단골 메뉴 에어프라이어 앞뒤 180도 10분씩 기름 쫙 빠지면 양배추와 얌얌 술안주로도 좋아요,64,5
돈부리 해먹으니 맛나요,12,5
자주 시켜먹어요 맛있어요,13,5
냉동실 필수템 입니다,11,5
양도 가격도 적당해요 세식구 두 번 정도 먹어요,26,5
집에서 편히 해먹기 무난합니다,16,5
두툼하고 맛있어서 재구매중 넘 맛있어요,21,5
에어프라이어에 간편하게 돌려먹을수있어 좋아요 덕양이라 하나꺼내먹고 보관하기좋게 지퍼백이었으면 더 좋겠어요,58,5
냉동실 쟁여템 중 하나 가격도 좋고 맛도 있어요,26,5
돈까스 맛있어요 가성비 좋아요,16,5
넘넘 간편하고 고기도 두툼하고 맛있어요 재구매입니다,28,5
좋아요 맛있네요 굿,10,5
저희집 에어프라이어가 성능이 좀 쎈편입니다바스켓타입에 열바람이 쎄서 시간이 절약되는편 180도에 6분 뒤집어서6분 했어요 튀김옷이 너무 바삭해서 치아쪽 입천장 위아래 다 까짐 일반적인 에어프라이어 쓰시는분들은 78분78분 하셔야 고기가 익을것 같습니다,140,3
하나 바로 해먹었습니다 무조건 추천템입니다 왠만한 매장보다 맛있습니다,38,5
가격이 저렴해서 자주 구매해요 도시락 반찬으로 좋아요,29,5
아이가 좋아해서 떨어지지 않게 자주 구매해요,24,5
에어프라이어용이라고 되어있어서 에어프라이어에해서 먹었는데 두툼하고 맛있아용,41,5
고기가 두툼하게 들어있고 에프용이라서 간편하네요,26,5
매번 주문해서 여러음식과 콜라보해서 먹고 있어요,26,5
에어프라이에 돌려서 먹었더니 딱 이네요 애들 너무 잘먹어요 돈까스김밥도 해먹었답니다,46,5
아이가 좋아해서 항상 냉동실에 쟁여 두고 먹어요 간단히 185도 20분 에프에 돌려 먹으면 끝 최고에요,57,5
가끔 시키는데 좋아요,11,5
바삭하고 맛있어요,9,5
고기가 너무너무 부드럽고 돈까스집에서 사먹는것처럼 너무 맛있어서 가족들 모두 대만족이었습니다특히나 입맛 까다로운 아이들과 저처럼 고기가 질긴거싫어하는 사람들에게 정말 딱인 맛난 돈까스였습니다대부분 완제품은 기대이한데 이건 너무 맛있어서 지금 재구매 하려고 들어왔다가 후기 남깁니다,156,5
후기 조아서 구입했어요,12,5
아이가 좋아하는 카레 돈까스용으로 자주 구매합니다,27,5
먹기 편하고 맛있습니다,12,5
회시켰는데 반찬겸 돈까스 에프에 돌려먹으니 바삭하고 맛있네요 다음엔 돈까스 덮밥 해먹으려구요 급하게 드실분들 꼭 익히다가 중간에 가위로 잘라서 익혀주세요 겉만 타고 속은 안익어요,99,5
밖에서 사먹는 돈까스 같다며 아이가 잘먹네요,24,5
맛있어서 항상 빼먹지 않고 구매하는 아이템이에요,26,5
할인할 때 샀는데 굿,11,4
돈까스가 날것이아니고 한번익혀져있는상품 이네요저는그래서 더편하게이용합니다외부타지않고 익힐수있어서좋고 맛도좋습니다,62,5
간편하고 맛있어요 에프에 돌려도 촉촉한편,22,5
에프에 돌리기만 하면 되어서 간편하네요,21,4
컬리 돈까스는 자주 이용하고있어요 가격도 좋고 내용물도 꽉차서 가성비 좋아요,42,5
항상 마트에서 돈까스를 구매하다가 처음으로 컬리에서 주문했는데 맛있네요 아이들도 만족해하고 한번 튀겨져 있어서 에프에 돌리면 건조하지 않고 촉촉하게 먹을 수 있어요 크기도 큽니다 쟁여두고 싶은 아이템이에요,114,5
돈까스 크기가 크고 포장도 잘되어있네요 잘먹겠습니다,28,5
냉동실에 쟁여놓는 필수품이져 가끔 잘 먹어요,24,5
고기가 통등심인데다 후기도 좋아서 구매해봅니다,25,5
이거 맛있어서 재구매 해요,14,5
기름에 안튀겨도 되어서 정말 좋아요 두툽하고 맛있어요,29,5
맛도 괜찮고 유통기한도 넉넉해요,17,5
종종 구매합니다,8,5
돈가스 바삭하고 고기도 괜찮고 만족해서 여러번 주문했습니다,32,5
간편하고 맛있고 사먹는 맛,14,5
간편해서 자주 구입해요,12,5
맛있어요가격도저렴하고,11,5
세일해서 저렴히 구입했어요,14,5
후기가 좋아서 구매해봤어요,14,5
자주시켜먹어요,7,5
아 전 이거 비추천이요늘 먹는 피크 맛있게 튀긴 등심돈까스와 비교해보니 튀김 옷은 두껍고 고기 육질이 뭔가 뭉개져있달까요 통등심이라기 보단 돼지고기를 다져서 뭉친 느낌까지 들 정도로 식감이 별로었고 들어있던 모든 덩이에서 고기에 힘줄 인지 뭔지 질긴 부분이 있었어요,148,2
에프돈까스는 쟁여템이쥬,12,5
맛있어서 재구매하는 통등심카츠에요 길쭉이버전 돈까스도 좋아하는데 이번엔 두꺼운거 먹고싶어서 재구매했어요,57,5
순삭했어요 맛나네요,10,5
반찬 없을 때에 하나씩 먹으면 편하고 맛있어요,25,5
괜춘해요 나쁘지않아요,11,4
아이가 돈까스 좋아해서 카레 돈까스 하려구요,24,4
저렴하고 맛있어요 굿굿,12,5
아주 맛있어요 잘 먹겠습니다,15,5
후기가 좋아 구매해봤어요,13,5
에프에 돌림 기름기도 빠지고 맛있어요,20,5
에프에 돌려먹으니 딱좋아요 재구매할거에요,22,5
등심돈가스 우리집 최애 메뉴 여러번 재구매요,24,5
추가구매했어요 지금껏 먹어봤던 냉동돈까스중에 최고입니다,30,5
맛도 좋고 튀김옷이 따로놀지 않아 참 좋았어요 기름은 좀 많이나오네요 잘 먹었습니다,46,4
세일가격에 반신반의하며 구입한 돈까스 양이 푸짐하고 돈까스도 두툼해서 놀랐네요 에어프라이기 180도 15분 돌리니 겉바속촉이네요 크기가 넓어 파바호밀식빵으로 샌드위치를 했는데 너무간편하고 맛도 좋습니다 기대이상이네요,120,5
맛있는 한끼 반찬이 됩니다 맛있어요,19,5
돈까스 제품 중 제일 맛있어요돈까스 안좋아하는 사람도 잘 먹어요,35,5
돈가스소스랑 먹으니까 맛있었어요,17,5
맛있어서 자주 이용하고 있어요,16,5
에어후라이기로 편하게 돈가스를 맛있게 먹을 수 있어서 떨어지지 않게 준비해놓고 있어요,47,5
냉동실에서 하나씩 꺼내먹어요 느끼하지않고 괜찮아요,27,4
쟁여템이에요 세일해서 저렴하게 샀네요 카레 돈까스로 자주 먹어요,35,5
